status	sex	survived	age
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	male	no	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	yes	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	female	no	adult
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	male	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
second	female	yes	child
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	yes	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	male	no	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	yes	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	female	no	adult
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	yes	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	male	no	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	yes	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
third	female	no	child
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
crew	male	yes	adult
