Landmass	Zone	Area	Population	Language	Religion	Bars	Stripes	Colors	Red	Green	Blue	Gold	White	Black	Orange	MainHue	Circles	Crosses	Saltires	Quarters	Sunstars	Crescent	Triangle	Icon	Animate	Text	TopLeft	BotRight
6	3	0.0	0.0	1	1	0	0	4	1	0	1	0	1	0	0	blue	1	1	1	1	15	0	0	0	0	0	white	blue
1	4	51.0	2.0	2	0	0	5	3	1	0	1	0	1	0	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
1	4	115.0	10.0	2	6	0	5	3	1	0	1	0	1	0	0	blue	0	0	0	0	1	0	1	0	0	0	blue	blue
3	1	9.0	1.0	6	1	0	0	3	0	1	0	1	1	0	0	white	0	0	0	0	0	0	0	1	1	0	white	white
3	1	128.0	15.0	5	6	0	0	3	1	0	1	0	1	0	0	white	0	0	0	0	0	0	1	0	0	0	white	red
3	1	43.0	5.0	6	1	0	0	2	1	0	0	0	1	0	0	red	0	1	0	0	0	0	0	0	0	0	red	red
4	1	22.0	0.0	3	2	0	0	4	1	1	1	0	1	0	0	blue	0	0	0	0	1	0	1	0	0	0	white	green
1	4	0.0	0.0	1	1	0	0	6	1	1	1	1	1	1	0	green	1	0	0	0	10	0	0	0	1	0	green	green
1	4	49.0	6.0	2	0	0	0	3	1	0	1	0	1	0	0	blue	0	1	0	0	0	0	0	0	0	0	blue	blue
2	3	284.0	8.0	2	0	0	3	3	1	0	1	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	gold	red
4	1	1001.0	47.0	8	2	0	3	4	1	0	0	1	1	1	0	black	0	0	0	0	0	0	0	0	1	1	red	black
1	4	21.0	5.0	2	0	0	3	2	0	0	1	0	1	0	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
4	1	28.0	0.0	10	5	0	3	4	1	1	1	0	1	0	0	green	0	0	0	0	0	0	1	0	0	0	green	red
4	1	1222.0	31.0	10	1	0	3	3	1	1	0	1	0	0	0	green	0	0	0	0	0	0	0	0	0	0	green	red
3	4	1.0	0.0	6	1	0	0	3	1	0	1	0	1	0	0	white	0	1	0	0	0	0	0	0	0	0	white	white
2	3	12.0	0.0	1	1	0	0	6	1	1	1	1	1	0	0	blue	1	1	1	1	0	0	0	1	1	1	white	blue
6	2	18.0	1.0	1	1	0	0	7	1	1	1	1	1	0	1	blue	0	2	1	1	0	0	0	1	1	0	white	blue
3	1	337.0	5.0	9	1	0	0	2	0	0	1	0	1	0	0	white	0	1	0	0	0	0	0	0	0	0	white	white
3	1	547.0	54.0	3	0	3	0	3	1	0	1	0	1	0	0	white	0	0	0	0	0	0	0	0	0	0	blue	red
2	4	91.0	0.0	3	0	3	0	3	1	0	1	0	1	0	0	white	0	0	0	0	0	0	0	0	0	0	blue	red
6	3	4.0	0.0	3	0	0	3	5	1	0	1	1	1	1	0	red	1	0	0	0	1	0	0	1	0	0	red	red
4	2	268.0	1.0	10	5	0	3	3	0	1	1	1	0	0	0	green	0	0	0	0	0	0	0	0	0	0	green	blue
4	4	10.0	1.0	1	5	0	5	4	1	1	1	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	green
3	1	108.0	17.0	4	6	0	3	3	1	0	0	1	0	1	0	gold	0	0	0	0	0	0	0	1	0	0	black	gold
3	1	249.0	61.0	4	1	0	3	3	1	0	0	1	0	1	0	black	0	0	0	0	0	0	0	0	0	0	black	gold
4	4	239.0	14.0	1	5	0	3	4	1	1	0	1	0	1	0	red	0	0	0	0	1	0	0	0	0	0	red	green
3	4	0.0	0.0	1	1	0	1	3	1	0	0	1	1	0	0	white	0	0	0	0	0	0	0	1	0	0	white	red
3	1	132.0	10.0	6	1	0	9	2	0	0	1	0	1	0	0	blue	0	1	0	1	0	0	0	0	0	0	blue	blue
1	4	2176.0	0.0	6	1	0	0	2	1	0	0	0	1	0	0	white	1	0	0	0	0	0	0	0	0	0	white	red
1	4	0.0	0.0	1	1	0	0	3	1	1	0	1	0	0	0	gold	1	0	0	0	7	0	1	0	1	0	red	red
6	1	0.0	0.0	1	1	0	0	7	1	1	1	1	1	0	1	blue	0	0	0	0	0	0	0	1	1	1	red	red
1	4	109.0	8.0	2	0	3	0	2	0	0	1	0	1	0	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
4	4	246.0	6.0	3	2	3	0	3	1	1	0	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	red	green
4	4	36.0	1.0	6	5	1	2	4	1	1	0	1	0	1	0	gold	0	0	0	0	1	0	0	0	0	0	red	green
2	4	215.0	1.0	1	4	0	0	5	1	1	0	1	1	1	0	green	0	0	0	0	0	0	1	0	0	0	black	green
1	4	28.0	6.0	3	0	2	0	2	1	0	0	0	0	1	0	black	0	0	0	0	0	0	0	0	0	0	black	red
1	4	112.0	4.0	2	0	0	3	2	0	0	1	0	1	0	0	blue	0	0	0	0	5	0	0	0	0	0	blue	blue
5	1	1.0	5.0	7	3	0	0	6	1	1	1	1	1	0	1	blue	1	1	1	1	0	0	0	1	1	1	white	blue
3	1	93.0	11.0	9	6	0	3	3	1	1	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	green
3	4	103.0	0.0	6	1	0	0	3	1	0	1	0	1	0	0	blue	0	1	0	0	0	0	0	0	0	0	blue	blue
5	1	3268.0	684.0	6	4	0	3	4	0	1	1	0	1	0	1	orange	1	0	0	0	0	0	0	1	0	0	orange	green
6	2	1904.0	157.0	10	2	0	2	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	white
5	1	1648.0	39.0	6	2	0	3	3	1	1	0	0	1	0	0	red	0	0	0	0	0	0	0	1	0	1	green	red
5	1	435.0	14.0	8	2	0	3	4	1	1	0	0	1	1	0	red	0	0	0	0	3	0	0	0	0	0	red	black
3	4	70.0	3.0	1	0	3	0	3	0	1	0	0	1	0	1	white	0	0	0	0	0	0	0	0	0	0	green	orange
5	1	21.0	4.0	10	7	0	2	2	0	0	1	0	1	0	0	white	0	0	0	0	1	0	0	0	0	0	blue	blue
3	1	301.0	57.0	6	0	3	0	3	1	1	0	0	1	0	0	white	0	0	0	0	0	0	0	0	0	0	green	red
4	4	323.0	7.0	3	5	3	0	3	1	1	0	0	1	0	0	white	0	0	0	0	0	0	0	0	0	0	red	green
1	4	11.0	2.0	1	1	0	0	3	0	1	0	1	0	1	0	green	0	0	1	0	0	0	1	0	0	0	gold	gold
5	1	372.0	118.0	9	7	0	0	2	1	0	0	0	1	0	0	white	1	0	0	0	1	0	0	0	0	0	white	white
5	1	98.0	2.0	8	2	0	3	4	1	1	0	0	1	1	0	black	0	0	0	0	1	0	1	0	0	0	black	green
5	1	181.0	6.0	10	3	0	0	2	1	0	0	1	0	0	0	red	0	0	0	0	0	0	0	1	0	0	red	red
4	1	583.0	17.0	10	5	0	5	4	1	1	0	0	1	1	0	red	1	0	0	0	0	0	0	1	0	0	black	green
6	1	0.0	0.0	1	1	0	0	4	1	0	1	1	1	0	0	red	0	0	0	0	1	0	0	1	1	0	red	blue
5	1	18.0	2.0	8	2	0	3	4	1	1	0	0	1	1	0	green	0	0	0	0	0	0	0	0	0	0	green	red
5	1	236.0	3.0	10	6	0	3	3	1	0	1	0	1	0	0	red	1	0	0	0	0	0	0	0	0	0	red	red
5	1	10.0	3.0	8	2	0	2	4	1	1	0	0	1	0	1	red	0	0	0	0	0	0	0	0	1	0	red	red
4	2	30.0	1.0	10	5	2	0	4	1	1	1	0	1	0	0	blue	0	0	0	0	0	0	0	1	0	0	green	blue
4	4	111.0	1.0	10	5	0	11	3	1	0	1	0	1	0	0	red	0	0	0	1	1	0	0	0	0	0	blue	red
4	1	1760.0	3.0	8	2	0	0	1	0	1	0	0	0	0	0	green	0	0	0	0	0	0	0	0	0	0	green	green
3	1	0.0	0.0	4	0	0	2	3	1	0	1	1	0	0	0	red	0	0	0	0	0	0	0	1	0	0	blue	red
3	1	3.0	0.0	4	0	0	3	3	1	0	1	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	blue
4	2	587.0	9.0	10	1	1	2	3	1	1	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	white	green
4	2	118.0	6.0	10	5	0	3	3	1	1	0	0	0	1	0	red	0	0	0	0	1	0	0	0	0	0	black	green
5	1	333.0	13.0	10	2	0	14	4	1	0	1	1	1	0	0	red	0	0	0	1	1	1	0	0	0	0	blue	white
5	1	0.0	0.0	10	2	0	0	3	1	1	0	0	1	0	0	red	0	0	0	0	0	1	0	0	0	0	red	red
4	4	1240.0	7.0	3	2	3	0	3	1	1	0	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	green	red
3	1	0.0	0.0	10	0	2	0	3	1	0	0	0	1	1	0	red	0	1	0	0	0	0	0	1	0	0	white	red
6	1	0.0	0.0	10	1	0	0	3	0	0	1	0	1	0	0	blue	0	0	0	0	1	0	0	1	0	0	blue	blue
4	4	1031.0	2.0	8	2	0	0	2	0	1	0	1	0	0	0	green	0	0	0	0	1	1	0	0	0	0	green	green
4	2	2.0	1.0	1	4	0	4	4	1	1	1	1	0	0	0	red	0	0	0	0	0	0	0	0	0	0	red	green
1	4	1973.0	77.0	2	0	3	0	4	1	1	0	0	1	0	1	green	0	0	0	0	0	0	0	0	1	0	green	red
6	1	1.0	0.0	10	1	0	0	2	0	0	1	0	1	0	0	blue	0	0	0	0	4	0	0	0	0	0	blue	blue
3	1	0.0	0.0	3	0	0	2	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	white
5	1	1566.0	2.0	10	6	3	0	3	1	0	1	1	0	0	0	red	2	0	0	0	1	1	1	1	0	0	red	red
1	4	0.0	0.0	1	1	0	0	7	1	1	1	1	1	1	0	blue	0	2	1	1	0	0	0	1	1	0	white	blue
4	4	447.0	20.0	8	2	0	0	2	1	1	0	0	0	0	0	red	0	0	0	0	1	0	0	0	0	0	red	red
4	2	783.0	12.0	10	5	0	5	5	1	1	0	1	1	1	0	gold	0	0	0	0	1	0	1	1	0	0	green	gold
6	2	0.0	0.0	10	1	0	3	3	0	0	1	1	1	0	0	blue	0	0	0	0	1	0	0	0	0	0	blue	blue
5	1	140.0	16.0	10	4	0	0	3	0	0	1	0	1	0	1	brown	0	0	0	0	2	1	0	0	0	0	blue	blue
3	1	41.0	14.0	6	1	0	3	3	1	0	1	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	blue
1	4	0.0	0.0	6	1	0	1	3	1	0	1	0	1	0	0	white	0	0	0	0	6	0	0	0	0	0	white	white
6	2	268.0	2.0	1	1	0	0	3	1	0	1	0	1	0	0	blue	0	1	1	1	4	0	0	0	0	0	white	blue
1	4	128.0	3.0	2	0	0	3	2	0	0	1	0	1	0	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
4	1	1267.0	5.0	3	2	0	3	3	0	1	0	0	1	0	1	orange	1	0	0	0	0	0	0	0	0	0	orange	green
4	1	925.0	56.0	10	2	3	0	2	0	1	0	0	1	0	0	green	0	0	0	0	0	0	0	0	0	0	green	green
6	3	0.0	0.0	1	1	0	0	4	1	0	1	1	1	0	0	gold	1	1	1	1	5	0	0	0	0	0	white	gold
5	1	121.0	18.0	10	6	0	5	3	1	0	1	0	1	0	0	blue	1	0	0	0	1	0	0	0	0	0	blue	blue
5	1	195.0	9.0	8	2	0	3	4	1	1	0	0	1	1	0	red	0	0	0	0	1	0	0	0	0	0	red	black
3	1	324.0	4.0	6	1	0	0	3	1	0	1	0	1	0	0	red	0	1	0	0	0	0	0	0	0	0	red	red
5	1	212.0	1.0	8	2	0	2	3	1	1	0	0	1	0	0	red	0	0	0	0	0	0	0	1	0	0	red	green
5	1	804.0	84.0	6	2	1	0	2	0	1	0	0	1	0	0	green	0	0	0	0	1	1	0	0	0	0	white	green
2	4	76.0	2.0	2	0	0	0	3	1	0	1	0	1	0	0	red	0	0	0	4	2	0	0	0	0	0	white	white
6	2	463.0	3.0	1	5	0	0	4	1	0	0	1	1	1	0	black	0	0	0	0	5	0	1	0	1	0	red	black
2	3	407.0	3.0	2	0	0	3	6	1	1	1	1	1	1	0	red	1	0	0	0	1	0	0	1	1	1	red	blue
2	3	1285.0	14.0	2	0	3	0	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	red
6	1	300.0	48.0	10	0	0	0	4	1	0	1	1	1	0	0	blue	0	0	0	0	4	0	1	0	0	0	blue	red
3	1	313.0	36.0	5	6	0	2	2	1	0	0	0	1	0	0	white	0	0	0	0	0	0	0	0	0	0	white	red
3	4	92.0	10.0	6	0	0	0	5	1	1	1	1	1	0	0	red	1	0	0	0	0	0	0	1	0	0	green	red
1	4	9.0	3.0	2	0	0	5	3	1	0	1	0	1	0	0	red	0	0	0	0	1	0	1	0	0	0	red	red
5	1	11.0	0.0	8	2	0	0	2	0	0	0	0	1	0	1	brown	0	0	0	0	0	0	0	0	0	0	white	brown
3	1	237.0	22.0	6	6	3	0	7	1	1	1	1	1	0	1	red	0	0	0	0	2	0	0	1	1	1	blue	red
4	2	26.0	5.0	10	5	3	0	4	1	1	0	1	0	1	0	red	0	0	0	0	0	0	0	0	0	1	red	green
3	1	0.0	0.0	6	0	0	2	2	0	0	1	0	1	0	0	white	0	0	0	0	0	0	0	0	0	0	white	blue
4	1	0.0	0.0	6	0	0	3	4	1	1	0	1	0	1	0	green	0	0	0	0	2	0	1	0	0	0	green	green
5	1	2150.0	9.0	8	2	0	0	2	0	1	0	0	1	0	0	green	0	0	0	0	0	0	0	1	0	1	green	green
4	4	196.0	6.0	3	2	3	0	3	1	1	0	1	0	0	0	green	0	0	0	0	1	0	0	0	0	0	green	red
4	2	0.0	0.0	1	1	0	0	3	1	1	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	green
4	4	72.0	3.0	1	5	0	3	3	0	1	1	0	1	0	0	green	0	0	0	0	0	0	0	0	0	0	green	blue
5	1	1.0	3.0	7	3	0	2	2	1	0	0	0	1	0	0	white	0	0	0	0	5	1	0	0	0	0	red	white
6	2	30.0	0.0	1	1	0	0	4	0	1	1	1	1	0	0	green	0	0	0	0	5	0	1	0	0	0	blue	green
4	1	637.0	5.0	10	2	0	0	2	0	0	1	0	1	0	0	blue	0	0	0	0	1	0	0	0	0	0	blue	blue
4	2	1221.0	29.0	6	1	0	3	5	1	1	1	0	1	0	1	orange	0	1	1	0	0	0	0	0	0	0	orange	blue
5	1	99.0	39.0	10	7	0	0	4	1	0	1	0	1	1	0	white	1	0	0	0	0	0	0	1	0	0	white	white
5	1	288.0	2.0	8	2	0	3	4	1	0	1	0	1	1	0	red	0	0	0	0	1	0	1	0	0	0	red	black
3	4	505.0	38.0	2	0	0	3	2	1	0	0	1	0	0	0	red	0	0	0	0	0	0	0	0	0	0	red	red
5	1	66.0	15.0	10	3	2	0	4	0	1	0	1	0	0	1	gold	0	0	0	0	0	0	0	1	1	0	gold	gold
4	3	0.0	0.0	1	1	0	0	7	1	1	1	1	1	0	1	blue	0	1	1	1	0	0	0	1	0	0	white	blue
1	4	0.0	0.0	1	1	0	0	5	1	1	0	1	1	1	0	green	0	0	0	0	2	0	1	0	0	0	green	red
1	4	0.0	0.0	1	1	0	0	4	0	0	1	1	1	1	0	blue	0	0	0	0	0	0	1	0	0	0	blue	blue
1	4	0.0	0.0	1	1	5	0	4	0	1	1	1	1	0	0	green	0	0	0	0	0	0	0	1	1	1	blue	green
4	1	2506.0	20.0	8	2	0	3	4	1	1	0	0	1	1	0	red	0	0	0	0	0	0	1	0	0	0	red	black
2	4	63.0	0.0	6	1	0	5	4	1	1	0	1	1	0	0	red	0	0	0	0	1	0	0	0	0	0	green	green
4	2	17.0	1.0	10	1	0	5	7	1	0	1	1	1	1	1	blue	0	0	0	0	0	0	0	1	0	0	blue	blue
3	1	450.0	8.0	6	1	0	0	2	0	0	1	1	0	0	0	blue	0	1	0	0	0	0	0	0	0	0	blue	blue
3	1	41.0	6.0	4	1	0	0	2	1	0	0	0	1	0	0	red	0	1	0	0	0	0	0	0	0	0	red	red
5	1	185.0	10.0	8	2	0	3	4	1	1	0	0	1	1	0	red	0	0	0	0	2	0	0	0	0	0	red	black
5	1	36.0	18.0	7	3	0	0	3	1	0	1	0	1	0	0	red	1	0	0	1	1	0	0	0	0	0	blue	red
4	2	945.0	18.0	10	5	0	0	4	0	1	1	1	0	1	0	green	0	0	0	0	0	0	1	0	0	0	green	blue
5	1	514.0	49.0	10	3	0	5	3	1	0	1	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	red
4	1	57.0	2.0	3	7	0	5	4	1	1	0	1	1	0	0	green	0	0	0	1	1	0	0	0	0	0	red	green
6	2	1.0	0.0	10	1	0	0	2	1	0	0	0	1	0	0	red	0	1	0	1	0	0	0	0	0	0	white	red
2	4	5.0	1.0	1	1	0	0	3	1	0	0	0	1	1	0	red	0	0	0	0	0	0	1	0	0	0	white	white
4	1	164.0	7.0	8	2	0	0	2	1	0	0	0	1	0	0	red	1	0	0	0	1	1	0	0	0	0	red	red
5	1	781.0	45.0	9	2	0	0	2	1	0	0	0	1	0	0	red	0	0	0	0	1	1	0	0	0	0	red	red
1	4	0.0	0.0	1	1	0	0	6	1	1	1	1	1	0	1	blue	0	1	1	1	0	0	0	1	1	0	white	blue
6	2	0.0	0.0	1	1	0	0	5	1	0	1	1	1	0	0	blue	0	1	1	1	9	0	0	0	0	0	white	blue
5	1	84.0	1.0	8	2	1	3	4	1	1	0	0	1	1	0	green	0	0	0	0	0	0	0	0	0	0	red	black
4	1	236.0	13.0	10	5	0	6	5	1	0	0	1	1	1	0	gold	1	0	0	0	0	0	0	0	1	0	black	red
3	4	245.0	56.0	1	1	0	0	3	1	0	1	0	1	0	0	red	0	1	1	0	0	0	0	0	0	0	white	red
2	3	178.0	3.0	2	0	0	9	3	0	0	1	1	1	0	0	white	0	0	0	1	1	0	0	0	0	0	white	white
1	4	0.0	0.0	1	1	0	0	6	1	1	1	1	1	0	0	white	0	0	0	0	0	0	0	1	1	1	white	white
1	4	9363.0	231.0	1	1	0	13	3	1	0	1	0	1	0	0	white	0	0	0	1	50	0	0	0	0	0	blue	red
5	1	22402.0	274.0	5	6	0	0	2	1	0	0	1	0	0	0	red	0	0	0	0	1	0	0	1	0	0	red	red
6	2	15.0	0.0	6	1	0	0	4	1	1	0	1	0	1	0	red	0	0	0	0	0	0	1	0	1	0	black	green
3	1	0.0	0.0	6	0	2	0	4	1	0	0	1	1	1	0	gold	0	0	0	0	0	0	0	1	0	0	gold	white
2	4	912.0	15.0	2	0	0	3	7	1	1	1	1	1	1	1	red	0	0	0	0	7	0	0	1	1	0	gold	red
5	1	333.0	60.0	10	6	0	0	2	1	0	0	1	0	0	0	red	0	0	0	0	1	0	0	0	0	0	red	red
6	3	3.0	0.0	1	1	0	0	3	1	0	1	0	1	0	0	red	0	0	0	1	5	0	0	0	0	0	blue	red
3	1	256.0	22.0	6	6	0	3	4	1	0	1	1	1	0	0	red	0	0	0	0	1	0	0	0	0	0	blue	red
4	2	905.0	28.0	10	5	0	0	4	1	1	0	1	0	0	1	green	1	0	0	0	0	0	0	1	1	0	green	green
4	2	753.0	6.0	10	5	3	0	4	1	1	0	0	0	1	1	green	0	0	0	0	0	0	0	0	1	0	green	brown
4	2	391.0	8.0	10	5	0	7	5	1	1	0	1	1	1	0	green	0	0	0	0	1	0	1	1	1	0	green	green
